IMO.SHL.2022.A1,"Alg","Alg","{'integer', 'sequence'}"
IMO.SHL.2022.A2,"Alg","Alg","{'sum', 'integer', 'number', 'expression', 'set'}"
IMO.SHL.2022.A3,"Alg","Alg","{'equality', 'function', 'inequality', 'number', 'expression', 'pair', 'argument', 'set', 'value'}"
IMO.SHL.2022.A4,"Alg","Alg","{'sum', 'integer', 'inequality', 'set'}"
IMO.SHL.2022.A5,"Alg","Alg","{'difference', 'sum', 'equation', 'number', 'function', 'argument', 'set', 'root'}"
IMO.SHL.2022.A6,"Alg","Alg","{'difference', 'integer', 'function', 'number', 'set'}"
IMO.SHL.2022.A7,"Alg","Alg","{'parity', 'sum', 'digit', 'sequence', 'integer', 'number', 'add', 'polynomial', 'set'}"
IMO.SHL.2022.A8,"Alg","Alg","{'series', 'sequence', 'integer', 'number', 'inequality', 'pair', 'product', 'value'}"
IMO.SHL.2022.C1,"Comb","Comb","{'integer', 'sequence'}"
IMO.SHL.2022.C2,"Comb","Comb","{'integer', 'row'}"
IMO.SHL.2022.C3,"Comb","Comb","{'height', 'game', 'square'}"
IMO.SHL.2022.C4,"Comb","Comb","{'integer', 'number', 'circle'}"
IMO.SHL.2022.C5,"Comb","Comb","{'function', 'subset', 'number', 'set'}"
IMO.SHL.2022.C6,"Comb","Comb","{'integer', 'number', 'sequence'}"
IMO.SHL.2022.C7,"Comb","Comb","{'integer', 'number'}"
IMO.SHL.2022.C8,"Comb","Comb","{'square', 'sequence', 'integer', 'number', 'function', 'path'}"
IMO.SHL.2022.C9,"Comb","Comb","{'number', 'set'}"
IMO.SHL.2022.G1,"Geom","Geom","{'circle', 'point', 'line'}"
IMO.SHL.2022.G2,"Geom","Geom","{'segment', 'triangle', 'point', 'altitude'}"
IMO.SHL.2022.G3,"Geom","Geom","{'circle', 'tangent', 'point', 'line'}"
IMO.SHL.2022.G4,"Geom","Geom","{'segment', 'triangle', 'circle', 'tangent', 'point', 'line'}"
IMO.SHL.2022.G5,"Geom","Geom","{'tangent', 'triangle', 'line'}"
IMO.SHL.2022.G6,"Geom","Geom","{'triangle', 'angle', 'point', 'altitude', 'variable', 'line'}"
IMO.SHL.2022.G7,"Geom","Geom","{'triangle'}"
IMO.SHL.2022.G8,"Geom","Geom","{'tangent', 'triangle', 'hexagon'}"
IMO.SHL.2022.N1,"NT","NT","{'sum', 'number', 'divisors'}"
IMO.SHL.2022.N2,"NT","NT","set()"
IMO.SHL.2022.N3,"NT","NT","{'integer'}"
IMO.SHL.2022.N4,"NT","NT","{'prime'}"
IMO.SHL.2022.N5,"NT","NT","{'digit', 'number'}"
IMO.SHL.2022.N6,"NT","NT","{'sum', 'prime', 'integer', 'primes', 'number', 'set'}"
IMO.SHL.2022.N7,"NT","NT","{'rotation', 'prime', 'integer', 'circle', 'set', 'product'}"
IMO.SHL.2022.N8,"NT","NT","{'integer'}"
LV.AMO.2000.7.1,"square","square","{'square'}"
LV.AMO.2000.7.2,"decimal","decimal","{'digit', 'divisibility'}"
LV.AMO.2000.7.4,"NA","NA","{'partition', 'primes', 'sum'}"
LV.AMO.2000.8.3,"sum","sum","{'sum'}"
LV.AMO.2000.9.2,"sum,square","sum,square","{'number', 'square', 'sum'}"
LV.AMO.2000.9.4,"sum,product","sum,product","{'product', 'sum'}"
LV.AMO.2000.10.2,"primes,digit","primes,digit","{'digit', 'primes'}"
LV.AMO.2000.11.1,"even","even","{'number'}"
LV.AMO.2000.11.4,"function,argument,value","function,argument,value","{'argument', 'function', 'value'}"
LV.AMO.2000.12.2,"equation","equation","{'equation'}"
LV.AMO.2000.12.5,"sequence","sequence","{'sequence'}"
